,y,x,HLdynamic,Li2011,Helsen2008,Arthern2010S,Goujon2003,Barnola1991,KuipersMunneke2015,Simonsen2013,Crocus,Arthern2010T
0,74.34,-51.78,0.0058845199999999764,0.007809789999999983,0.009656029999999982,0.0061446,-0.13314255700000002,-0.04057018000000001,0.008023999999999976,0.007551129999999989,-0.36872685000000005,
1,67.33,-65.45,0.25599987,0.31321982000000004,0.31141712,0.31197582,-0.04376437999999999,-0.03746199,0.264144215,0.249887924,-0.0011708999999999747,
2,71.07,-45.91,0.006810209999999983,0.0060463000000000044,0.012328889999999981,0.0066474400000000045,-0.052673529999999996,0.004945399999999989,0.011775599999999997,0.008976879999999993,-0.37228554,
3,69.87,-38.13,0.011322169999999993,0.009496089999999985,0.009849069999999988,0.00894396,-0.37197598,-0.248398805,0.010254159999999984,0.010419609999999996,-0.39435583,
4,66.41,-43.36,-0.001164659999999984,-0.0002222499999999794,-0.0015644099999999883,0.0008206800000000181,-0.21729481099999998,-0.005228009999999977,-0.0007479799999999814,0.0001712700000000289,-0.39910956,
5,66.14,-39.02,-0.0009834800000000088,-0.013505340000000005,-7.30300000000017e-05,,-0.28263252,-0.006743180000000015,-0.0015699899999999933,-0.0012040300000000226,-0.3970754,
6,65.89,-41.53,-0.0005500900000000031,-0.012667979999999995,0.0015783999999999798,,-0.239412195,-0.005652480000000015,0.0016595899999999886,-0.0002496800000000021,-0.3995302,
7,82.32,-70.23,0.004490999999999995,0.005376409999999998,0.006126920000000008,0.004319829999999997,-0.039395490000000005,-0.05416312000000001,0.004838359999999986,0.004303119999999994,-0.40188548,
8,78.05,-59.48,-0.006977030000000023,-0.007371920000000004,-0.008500670000000016,-0.007438990000000006,-0.04597056000000002,-0.10244339400000002,-0.006633940000000005,-0.006425680000000017,-0.31564644000000003,
9,78.21,-31.99,-0.00784283999999999,-0.00972176999999999,-0.01240496000000002,-0.009858459999999986,-0.04509469999999999,-0.03344219999999998,-0.008428819999999976,-0.008416579999999979,-0.17963049999999997,
10,82.09,-74.95,0.05991893000000001,0.060113,0.06059163000000001,0.05995046000000001,-0.33103779,-0.33612668,0.05936855000000002,0.059161290000000005,-0.33705669,
11,81.39,-39.11,-0.007904689999999992,-0.008773799999999998,-0.010228899999999985,-0.009972659999999994,0.02726171999999999,0.020323140000000017,-0.008959190000000006,-0.008675829999999995,0.018303979999999997,
12,78.04,-41.06,-0.00803242999999998,-0.009481580000000017,-0.010994690000000001,-0.010132570000000007,-0.14224155,-0.1798187,-0.00771709000000001,-0.007953020000000005,-0.40494640000000004,
13,73.71,-32.93,-0.009857379999999971,-0.010714069999999992,-0.01240348999999999,-0.011437539999999996,-0.014815300000000003,-0.016202870000000008,-0.009853439999999991,-0.009989949999999997,-0.317699614,
14,80.8,-94.62,-0.000498339999999986,-0.0007328000000000057,-0.0005374199999999829,-0.0010852399999999873,-0.280932124,-0.02009875,-0.000458970000000003,-0.0009753599999999807,-0.39858155,
15,77.34,-44.26,-0.0016668499999999975,-0.0024205499999999935,-0.0031616399999999933,-0.0024359600000000148,-0.32418093000000003,-0.35122018,-0.001011259999999986,-0.0013251600000000197,-0.40194938,
16,70.92,-49.28,0.003694190000000014,0.0034667499999999907,0.009678519999999996,0.002781670000000014,-0.0143615,0.005396740000000011,0.008533559999999968,0.005546600000000013,-0.142851476,
17,78.59,-58.44,-0.002946360000000009,-0.0030737299999999967,-0.003936290000000009,-0.002447929999999987,-0.11589351,-0.2081251454,-0.0023759200000000036,-0.002347189999999999,-0.39006602999999995,
18,71.92,-30.36,-0.009350849999999994,-0.013624180000000014,-0.014194179999999973,-0.01192899,-0.08264168999999999,-0.07926100999999999,-0.010655249999999977,-0.010506080000000001,-0.14554897,
19,70.12,-37.74,-0.01075592000000003,-0.013318010000000019,-0.012286690000000017,-0.013796620000000037,-0.31849824000000004,-0.19828475500000003,-0.010894610000000027,-0.01172982000000003,-0.41798130000000006,
20,61.04,-44.24,0.0034078809999999876,,,,,0.064094315,-0.004708895000000005,0.03358048899999999,-0.03802893500000001,
21,74.74,-52.22,0.00651597000000001,0.008486350000000004,0.011215449999999988,0.00721927,-0.08942728999999999,-0.017905900000000002,0.009748730000000011,0.007722649999999998,-0.37182026,
