2003,2004,2005,2006,2007,2008
1.7436,0.68972,0.87395,0.65921,0.69053,0.96224
1.4945,0.76905,0.32805,0.97754,1.9711,0.47407
1.2238,0.8592,0.83334,0.39281,0.50501,0.81215
1.8527,0.63272,0.89656,0.12067,0.77226,0.8253
0.70038,1.2771,-0.018111,0.38831,0.32047,0.55919
0.613,0.14799,0.83964,0.42166,0.58095,0.050095
0.21678,0.73757,0.48904,0.19061,0.28058,0.50681
0.3129,0.65818,0.96757,0.70462,0.4859,0.13974
1.0859,0.73518,0.13952,0.97551,0.76798,0.8719
1.2885,0.14132,0.37506,0.24852,0.58869,0.87661
1.4827,0.37436,1.122,0.29981,0.81084,0.74194
0.69905,0.28996,1.18,1.5419,1.0549,0.9536
