2003,2004,2005,2006,2007,2008
235.98,233.24,234.03,232.87,235.56,230.2
237.34,233.84,241.69,238.4,239.41,236.68
240.65,239.98,244.74,235.5,235.39,236.14
246.13,242.61,245.94,241.3,243.37,245.94
253.79,254.7,254.45,256.45,252.97,252.58
265.12,263.13,265.02,262.22,265.17,264.07
263.69,265.53,268.81,265.85,266,266.38
263.04,260.59,258.8,261.81,260.17,259.65
252.17,251.81,246.45,252.72,247.88,253.14
246.08,246.45,239.78,243.93,241.95,240.29
237.91,237.38,241.48,230.47,236.6,235.03
233.09,228.06,235.82,236.02,234.13,237.58
