2008,2007,2006,2005,2004,2003
1.8038,1.4367,1.3308,2.0701,0.71235,2.0686
1.1907,1.552,1.4908,1.0889,1.5153,2.4153
0.99812,1.2692,0.70013,1.8572,2.5352,1.8624
0.80781,1.5352,0.49999,1.5789,1.121,2.6957
1.0715,0.61615,0.65897,0.19783,1.2085,0.83844
0.081424,0.57728,0.73193,1.3304,0.26891,0.38909
0.46205,0.40788,0.30264,0.77179,1.48,0.25376
0.076829,0.80651,1.113,0.99244,0.83874,0.66233
2.0729,1.334,0.93674,0.25433,0.98275,0.93795
1.1617,0.95331,0.27023,0.51548,0.38158,1.6703
1.3967,1.3567,0.41802,1.5472,0.96669,1.5525
1.9865,2.083,2.3222,1.8806,0.57709,1.1742
