1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0.23968,0.13194,0.15961,0.037274,0.025874,0.15912,0.096381,0.25683,0.057229,0.064464,0.03798,0.088705,0.21523,0.075898,0.052238,0.030132,0.17866,0.39375,0.19199,0.066715,0.21278,0.070409,0.083712,0.16022,0.094224,0.19542,0.095106,0.25973,0.07119,0.12082,0.28065,0.3508,0.081866,0.08332,0.08471,0.053806,0.16338
0.14351,0.056969,0.09961,0.13548,0.045171,0.044953,0.1966,0.086456,0.091174,0.035334,0.034692,0.19178,0.031282,0.068198,0.17943,0.056961,0.18688,0.040134,0.052739,0.15856,0.043523,0.10505,0.018435,0.083759,0.12264,0.32105,0.12345,0.1213,0.067555,0.086965,0.16888,0.065239,0.14871,0.13023,0.057757,0.083499,0.060202
0.20195,0.072486,0.14433,0.094904,0.13989,0.17921,0.12551,0.1233,0.12693,0.02482,0.085878,0.073282,0.087269,0.068603,0.07337,0.090205,0.28295,0.063091,0.062819,0.16233,0.080806,0.15816,0.10832,0.15653,0.11419,0.30142,0.077443,0.15089,0.11561,0.10319,0.068167,0.075113,0.10976,0.30051,0.074733,0.075433,0.26811
0.075027,0.23631,0.18015,0.18974,0.030127,0.13999,0.17719,0.10192,0.11816,0.098126,0.11732,0.13628,0.083699,0.14357,0.34844,0.23148,0.24991,0.17116,0.2415,0.27834,0.3093,0.22015,0.072001,0.29543,0.083086,0.19266,0.056318,0.20335,0.19637,0.085139,0.16519,0.061378,0.084603,0.17252,0.15727,0.048251,0.38325
0.25463,0.34848,0.077884,0.10836,0.14802,0.43256,0.14967,0.16354,0.18501,0.16052,0.30186,0.1493,0.13307,0.48677,0.34696,0.40518,0.27115,0.17579,0.49242,0.12963,0.10327,0.19554,0.23675,0.19626,0.20186,0.28842,0.31314,0.12424,0.18397,0.17108,0.35592,0.14912,0.3127,0.14655,0.12659,0.17898,0.27173
0.24523,0.091652,0.10207,0.38099,0.39028,0.34618,0.070429,0.29826,0.3971,0.30624,0.12001,0.31633,0.215,0.25939,0.095756,0.34096,0.1717,0.29396,0.13829,0.20513,0.079627,0.098915,0.2364,0.085247,0.30822,-0.029925,0.29457,0.57636,0.26556,0.19384,0.21154,0.11265,0.65889,0.2787,0.20372,0.057122,-0.0026517
0.18557,0.27607,0.21725,0.087825,0.17344,0.16839,0.50632,0.22639,0.16052,0.30074,0.44674,0.17487,0.66956,0.43722,0.30274,0.21332,0.248,0.4203,0.21683,0.17308,0.43842,0.69487,0.16673,0.1915,0.23,0.33668,0.3463,0.0010951,0.032463,0.03261,0.40904,0.24123,0.18368,0.23329,0.68043,0.008578,0.12666
0.58722,0.22283,0.26932,0.092281,0.37892,0.54739,0.42823,0.41201,0.41971,0.084096,0.11568,0.19008,0.28167,0.29763,0.51156,0.20933,0.5168,0.42225,0.4835,0.48031,0.63181,0.63007,0.17158,0.58801,0.44158,0.15003,0.42634,0.22242,0.18396,0.076993,0.60396,0.50832,0.27037,0.43031,0.33742,0.21805,0.56231
0.15879,0.24437,0.27844,0.18093,0.44997,0.15846,0.48584,0.4775,0.59053,0.10424,0.15772,0.25073,0.16153,0.30964,0.34027,0.223,0.28035,0.25194,0.17701,0.29974,0.36042,0.24036,0.32675,0.43682,0.25772,0.27178,0.21897,0.19835,0.16033,0.27331,0.25637,0.24059,0.25118,0.33019,0.17931,0.30288,0.299
0.096028,0.32094,0.14839,0.15163,0.20377,0.33658,0.10827,0.13051,0.41349,0.20558,0.16356,0.23322,0.50942,0.38149,0.1325,0.18316,0.1204,0.30662,0.31116,0.18359,0.13598,0.29815,0.28301,0.26461,0.42177,0.21748,0.15053,0.31986,0.32925,0.19919,0.24901,0.19684,0.22782,0.34697,0.11446,0.18063,0.22857
0.1901,0.15775,0.060018,0.20272,0.1054,0.2742,0.053378,0.20068,0.32726,0.33971,0.22391,0.14719,0.074346,0.12792,0.23231,0.45781,0.20036,0.11806,0.18364,0.17883,0.21131,0.16813,0.14212,0.13446,0.13167,0.29434,0.077576,0.21879,0.1104,0.10355,0.3698,0.14514,0.13672,0.15525,0.19581,0.21882,0.1294
0.13062,0.12181,0.1219,0.084175,0.081473,0.11262,0.10135,0.070671,0.095392,0.18916,0.26005,0.19183,0.070379,0.067632,0.126,0.20505,0.21259,0.23347,0.18277,0.18947,0.2558,0.21232,0.13709,0.14811,0.064834,0.10647,0.17562,0.086935,0.16189,0.2938,0.26609,0.044471,0.15435,0.056958,0.10477,0.10778,0.084587
