2008,2007,2006,2005,2004,2003
233.24,237.38,235.95,235.75,233.06,235.34
239.58,240.4,239.75,244.29,235.59,238.52
235.64,235.24,237.22,245.5,242.75,240.34
245.51,245.11,244.09,246.21,245.33,246.61
255.12,253.82,256.51,256.07,255.27,254.54
266.88,268,262.54,268.24,263.75,267.44
269.18,269.34,268.18,271.07,267.68,267.61
262.19,260.8,262.16,260.4,261.35,264.87
253.47,249.36,252.71,249.42,252.88,252.42
241.5,242.35,244.97,241.9,247.42,245.95
236.48,237.35,235.28,242.78,237.19,238.43
239.38,235.32,235.3,238.56,232.96,234.49
