2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
243.2,238.01,243.52,238.45,237.36,240.74,243.18,237.06,235.55,237.1,235.35,237.29,233.69,238.87,238.73,236.48,239.42,237.19,241.58,240.97,240.01,230.11,233.77,230.45,237.98,234.46,236.01,233.79,230.67,244.57,238.98,240.55,233.28,230.51,236.39,232.16,245.63
237.57,228.74,238.43,240.09,237.58,238.98,243.39,236.04,239.54,241.58,238.17,243.67,236.05,238.99,227.38,235.96,236.5,236.56,231.23,235.19,239.83,232.96,242.31,231.79,233.52,244.29,232.93,230.8,238.42,235.74,244.09,232.69,232.77,232.92,239.33,231.48,238.65
244.62,237.99,235.83,241.84,240.15,233.52,238.06,236.72,238.82,238.76,237.21,244.82,238.02,241.96,233.89,236.54,234.57,237.31,232.39,236.02,243.11,234.33,232.55,231.23,234.16,238.56,230.2,231.7,236.98,239.01,239.38,239.78,236.43,230.83,240.47,235.54,241.28
252.46,240.17,243.04,244.12,244.19,239.87,245.34,242.73,246.62,245.73,242.93,244.53,245.19,247.8,240.72,245.91,250.89,245.99,251.31,242.85,247.81,247.99,248.77,244.67,243.13,240.78,240.92,245.65,242.45,245.32,243.55,245.44,242.37,243.04,244.1,244.61,243.22
257.16,254.8,252.75,252.32,255.43,256.31,259.71,256.36,254.71,254.87,258.46,256.02,257.19,256.33,257.67,254.13,252.52,255.47,257.68,257.24,256.06,257.3,258.45,254.31,250.52,255.81,256.32,252.6,259.4,255.46,255.76,260.08,251.52,254.01,252.47,255.78,257.06
264.48,264.11,266.34,265.07,269.49,266.84,269.03,261.4,267.62,266.59,263.79,267.83,264.55,269.18,267.09,262.67,262.16,262.94,269.02,265.92,264.16,264.54,262.4,266.44,261.17,264.81,266.45,263.68,264.45,266.95,262.59,262.96,265.02,262.98,263.8,263.89,265.7
270.06,270.98,269.5,267.79,270.4,270.97,269,269.53,269.58,268.96,267.97,271.03,267.32,268.12,269.48,266.82,265.3,267.46,270.31,264.68,265.25,268.58,266.03,269.74,265.3,264.48,266.39,265.73,267,268.37,262.89,268.44,268.06,267.45,265,269.01,268.3
262.91,260.48,261.62,260.04,263.5,262.8,263.04,259.67,262.4,262.81,264.19,262.06,263.12,263.46,259.68,263.01,262.73,261.89,262.85,259.16,259.59,263.09,262.01,261.11,257.46,258.29,260.89,260.6,261.28,264.82,262.78,263.3,261.71,257.75,260.25,260.9,262.41
253.03,253.43,251.12,253.4,253.7,254.73,256.04,248.38,255.08,250.37,254.73,250.29,253.61,254.13,256.99,253.99,256.71,253.13,253.59,248.84,252.77,253.89,252.36,255.81,251.12,250.68,249.73,245.88,255.13,252.79,254.48,250.19,253.24,249.44,251.46,252.29,250.31
248.47,247.4,244.48,244.41,246.39,242.09,246.42,243.22,243.29,244.1,246.91,245.23,250.65,248.85,250.11,246.63,242.91,242.54,246.72,246.82,241.55,244.16,238.27,246.98,251.8,242.49,241.3,243.46,248.28,242.42,240.28,245.26,244.6,241.85,244.15,245.31,241.2
242.55,239.93,244.12,235.06,239.39,240.87,249.09,237.67,237.01,239.68,233.85,244.6,239.97,241.79,245.05,238.29,244.2,237.13,241.84,241.74,240.22,249.22,242.37,239.66,238.62,238.94,241.12,243.93,244.8,242.05,235.26,242.72,239.48,238.76,236.9,240.4,241.12
238.39,233.18,235.87,237.11,240.1,233.93,244.47,244.19,240.21,235.9,238.72,239.4,232.24,238.36,243.29,240.26,240.78,238.92,241.77,242.83,242.52,240.78,235.21,231.97,232.62,237.17,241.6,240.71,234.43,232.02,239.33,239.71,240.18,238.33,236.82,238.28,235.58
