Depth [m],Density [kg/m3]
0.03,161.6161616161616
0.06,202.02020202020202
0.09,232.3232323232323
0.12,323.2323232323232
0.15,303.030303030303
0.18,333.3333333333333
0.21,373.73737373737373
0.24,363.6363636363636
0.27,343.4343434343434
0.3,353.5353535353535
0.33,383.83838383838383
0.36,373.73737373737373
0.39,343.4343434343434
0.42,373.73737373737373
0.45,373.73737373737373
0.48,323.2323232323232
0.51,313.1313131313131
0.54,252.5252525252525
0.57,303.030303030303
0.6,272.7272727272727
0.63,292.9292929292929
0.66,353.5353535353535
0.69,252.5252525252525
0.72,393.93939393939394
0.75,252.5252525252525
0.78,292.9292929292929
0.81,252.5252525252525
0.84,272.7272727272727
0.87,282.8282828282828
0.9,313.1313131313131
0.93,383.83838383838383
0.96,323.2323232323232
0.99,434.34343434343435
1.02,404.04040404040404
1.05,434.34343434343435
1.08,424.24242424242425
1.11,404.04040404040404
1.14,444.4444444444444
1.17,444.4444444444444
1.2,393.93939393939394
1.23,393.93939393939394
1.26,404.04040404040404
1.29,404.04040404040404
