%location by sbs
77.25329  -49.21487
% Year 
0 2011
%Depth	Density
%B26 2011 pit (density)
%Volume: 3*5.5*6 cm
%Dato: 28/7-2011
%Dybde (cm)	masse (g)
3	16
6	20
9	23
12	32
15	30
18	33
21	37
24	36
27	34
30	35
33	38
36	37
39	34
42	37
45	37
48	32
51	31
54	25
57	30
60	27
63	29
66	35
69	25
72	39
75	25
78	29
81	25
84	27
87	28
90	31
93	38
96	32
99	43
102	40
105	43
108	42
111	40
114	44
117	44
120	39
123	39
126	40
129	40
